team,match_key,player_key
Sunrisers Hyderabad,1304063,MJn2600
Sunrisers Hyderabad,1304063,UMk1846
Sunrisers Hyderabad,1304063,TNn2447
Chennai Super Kings,1304075,RGd282
Chennai Super Kings,1304075,RUa1125
Chennai Super Kings,1304075,MAi595
Chennai Super Kings,1304075,ARu2333
Chennai Super Kings,1304075,SDe944
Chennai Super Kings,1304075,RJa609
Chennai Super Kings,1304075,MDi608
Chennai Super Kings,1304075,DBo344
Chennai Super Kings,1304075,CJn164
Chennai Super Kings,1304075,MTa383
Chennai Super Kings,1304075,MCy3522
Gujarat Titans,1304075,WSa3464
Gujarat Titans,1304075,SGl3465
Gujarat Titans,1304075,VSr1177
Gujarat Titans,1304075,AMr3466
Gujarat Titans,1304075,DMr440
Gujarat Titans,1304075,RTa3459
Gujarat Titans,1304075,RKn207
Gujarat Titans,1304075,AJh2407
Gujarat Titans,1304075,LFn403
Gujarat Titans,1304075,MSi1186
Gujarat Titans,1304075,YDl3467
Rajasthan Royals,1304059,JBr161
Rajasthan Royals,1304059,YJl3557
Rajasthan Royals,1304059,DPl284
Rajasthan Royals,1304059,SSn285
Rajasthan Royals,1304059,SHr892
Rajasthan Royals,1304059,RPg3493
Rajasthan Royals,1304059,RAn610
Rajasthan Royals,1304059,NSi288
Rajasthan Royals,1304059,TBt732
Rajasthan Royals,1304059,YCl723
Rajasthan Royals,1304059,MPKa3494
Royal Challengers Bangalore,1304059,FdPs439
Royal Challengers Bangalore,1304059,ARt3591
Royal Challengers Bangalore,1304059,VKi607
Royal Challengers Bangalore,1304059,DWy163
Royal Challengers Bangalore,1304059,SRd893
Royal Challengers Bangalore,1304059,SAd3567
Royal Challengers Bangalore,1304059,KKk967
Royal Challengers Bangalore,1304059,HPl969
Royal Challengers Bangalore,1304059,PdSa297
Royal Challengers Bangalore,1304059,MSj971
Royal Challengers Bangalore,1304059,ADp3604
Rajasthan Royals,1304080,JBr161
Rajasthan Royals,1304080,DPl284
Rajasthan Royals,1304080,SSn285
Rajasthan Royals,1304080,SHr892
Rajasthan Royals,1304080,RPg3493
Rajasthan Royals,1304080,KNr3506
Rajasthan Royals,1304080,RAn610
Rajasthan Royals,1304080,TBt732
Rajasthan Royals,1304080,OMy518
Rajasthan Royals,1304080,MPKa3494
Rajasthan Royals,1304080,YCl723
Delhi Capitals,1304080,PSw2107
Delhi Capitals,1304080,DWr168
