city,venue,mapped_venue
Abu Dhabi,Sheikh Zayed Stadium,"Sheikh Zayed Stadium, Abu Dhabi"
Abu Dhabi,"Sheikh Zayed Stadium, Abu Dhabi","Sheikh Zayed Stadium, Abu Dhabi"
Mirpur,Shere Bangla National Stadium,"Shere Bangla National Stadium, Dhaka"
Dhaka,Shere Bangla National Stadium,"Shere Bangla National Stadium, Dhaka"
Dhaka,"Shere Bangla National Stadium, Mirpur","Shere Bangla National Stadium, Dhaka"
Victoria,"Simonds Stadium, South Geelong","Simonds Stadium, South Geelong, Victoria"
Geelong,"Simonds Stadium, South Geelong, Victoria","Simonds Stadium, South Geelong, Victoria"
Antigua,"Sir Vivian Richards Stadium, North Sound","Sir Vivian Richards Stadium, North Sound, Antigua"
North Sound,"Sir Vivian Richards Stadium, North Sound, Antigua","Sir Vivian Richards Stadium, North Sound, Antigua"
Wellington,Sky Stadium,"Sky Stadium, Wellington"
Cardiff,Sophia Gardens,"Sophia Gardens, Cardiff"
Cardiff,"Sophia Gardens, Cardiff","Sophia Gardens, Cardiff"
Deventer,Sportpark Het Schootsveld,"Sportpark Het Schootsveld, Deventer"
Utrecht,Sportpark Maarschalkerweerd,"Sportpark Maarschalkerweerd, Utrecht"
The Hague,Sportpark Westvliet,"Sportpark Westvliet, The Hague"
The Hague,"Sportpark Westvliet, The Hague","Sportpark Westvliet, The Hague"
Port Elizabeth,St George's Park,"St George's Park, Port Elizabeth"
Port Elizabeth,"St George's Park, Port Elizabeth","St George's Park, Port Elizabeth"
Canterbury,St Lawrence Ground,"St Lawrence Ground, Canterbury"
Canterbury,"St Lawrence Ground, Canterbury","St Lawrence Ground, Canterbury"
Sydney,Stadium Australia,"Stadium Australia, Sydney"
Blackpool,"Stanley Park, Blackpool","Stanley Park, Blackpool, Blackpool"
Pune,Subrata Roy Sahara Stadium,"Subrata Roy Sahara Stadium, Pune"
Centurion,SuperSport Park,"SuperSport Park, Centurion"
Centurion,"SuperSport Park, Centurion","SuperSport Park, Centurion"
Brondby,"Svanholm Park, Brondby","Svanholm Park, Brondby, Brondby"
,Sydney Cricket Ground,"Sydney Cricket Ground, Sydney"
Sydney,Sydney Cricket Ground,"Sydney Cricket Ground, Sydney"
,Sydney Showground Stadium,"Sydney Showground Stadium, Sydney"
Sydney,Sydney Showground Stadium,"Sydney Showground Stadium, Sydney"
Sylhet,Sylhet International Cricket Stadium,"Sylhet International Cricket Stadium, Sylhet"
,Sylhet International Cricket Stadium,"Sylhet International Cricket Stadium, Sylhet"
,Sylhet Stadium,"Sylhet International Cricket Stadium, Sylhet"
Moe,Ted Summerton Reserve,"Ted Summerton Reserve, Moe"
Bangkok,Terdthai Cricket Ground,"Terdthai Cricket Ground, Bangkok"
Taunton,The Cooper Associates County Ground,"The Cooper Associates County Ground, Taunton"
Taunton,"The Cooper Associates County Ground, Taunton","The Cooper Associates County Ground, Taunton"
Beckenham,The Kent County Cricket Ground,"The Kent County Cricket Ground, Beckenham"
Southampton,The Rose Bowl,"The Rose Bowl, Southampton"
Southampton,"The Rose Bowl, Southampton","The Rose Bowl, Southampton"
Dublin,"The Village, Malahide","The Village, Malahide, Dublin"
Dublin,"The Village, Malahide, Dublin","The Village, Malahide, Dublin"
Johannesburg,The Wanderers Stadium,"The Wanderers Stadium, Johannesburg"
Johannesburg,"The Wanderers Stadium, Johannesburg","The Wanderers Stadium, Johannesburg"
Vantaa,Tikkurila Cricket Ground,"Tikkurila Cricket Ground, Vantaa"
Abu Dhabi,Tolerance Oval,"Tolerance Oval, Abu Dhabi"
Townsville,Tony Ireland Stadium,"Tony Ireland Stadium, Townsville"
Alice Springs,Traeger Park,"Traeger Park, Alice Springs"
Nottingham,Trent Bridge,"Trent Bridge, Nottingham"
Nottingham,"Trent Bridge, Nottingham","Trent Bridge, Nottingham"
Kirtipur,Tribhuvan University International Cricket Ground,"Tribhuvan University International Cricket Ground, Kirtipur"
Kirtipur,"Tribhuvan University International Cricket Ground, Kirtipur","Tribhuvan University International Cricket Ground, Kirtipur"
Bangi,"UKM-YSD Cricket Oval, Bangi","UKM-YSD Cricket Oval, Bangi, Bangi"
Windhoek,United Cricket Club Ground,"United Cricket Club Ground, Windhoek"
Windhoek,"United Cricket Club Ground, Windhoek","United Cricket Club Ground, Windhoek"
Lagos,University of Lagos Cricket Oval,"University of Lagos Cricket Oval, Lagos"
Dunedin,University Oval,"University Oval, Dunedin"
Dunedin,"University Oval, Dunedin","University Oval, Dunedin"
